claim_id,policy_id,customer_id,policy_type,vehicle_segment,incident_type,incident_date,claim_reported,total_claim_amount,repair_estimate,police_report_available,injury_severity,policy_annual_mileage,insured_zip,insured_city,insured_state,fraud_reported
C21976195,P5075319,U093947,Comprehensive,Hatchback,Head-on,05/14/2023,05/18/2023,30481.83,25565.79,Yes,None,15075,600007,Chennai,Tamil Nadu,No
C28216129,P1554215,U325874,Motor OD,SUV,Single Vehicle,03/08/2023,04/01/2023,75532.89,55303.01,Yes,None,7037,226005,Lucknow,Uttar Pradesh,Yes
C89780506,P7391697,U885009,Comprehensive,SUV,Parking Bump,07/18/2023,07/20/2023,28543.7,26633.33,Yes,None,15930,560009,Bengaluru,Karnataka,Yes
C99338718,P0482383,U204092,Motor OD,Sedan,Rear Collision,04/02/2024,04/04/2024,6782.17,6231.54,No,None,11567,380006,Ahmedabad,Gujarat,Yes
C41841101,P0020542,U736391,Comprehensive,Van,Rear Collision,05/05/2025,05/12/2025,23714.87,18368.78,Yes,None,15876,400008,Mumbai,Maharashtra,Yes
C02222998,P2193037,U242745,Motor OD,SUV,Rear Collision,08/10/2024,08/10/2024,44149.21,40131.12,Yes,None,20260,600005,Chennai,Tamil Nadu,No
C90036975,P9400162,U185196,Comprehensive,Hatchback,Rear Collision,02/13/2024,02/27/2024,21824.64,19050.96,No,None,8899,110005,Delhi,Delhi,Yes
C69865517,P2635433,U525979,Motor OD,SUV,Side Collision,05/30/2025,06/20/2025,56025.94,42553.89,No,Minor,4718,110010,Delhi,Delhi,Yes
C96892598,P1140206,U781761,Motor OD,Pickup,Rear Collision,06/23/2025,06/25/2025,62890.86,56452.37,Yes,None,16688,400007,Mumbai,Maharashtra,No
C16097436,P9649429,U838145,Motor TP,SUV,Rear Collision,11/19/2023,11/21/2023,30341.24,28270.91,No,None,11338,700006,Kolkata,West Bengal,No
C62247027,P2507724,U766558,Motor TP,Motorcycle,Head-on,07/31/2025,07/31/2025,16350.44,15859.58,Yes,None,12051,500001,Hyderabad,Telangana,No
C16748977,P8972895,U044125,Comprehensive,Pickup,Side Collision,12/17/2023,12/19/2023,37489.27,30351.56,Yes,None,18731,226002,Lucknow,Uttar Pradesh,No
C15941327,P6787621,U168890,Comprehensive,Hatchback,Side Collision,11/23/2023,12/03/2023,45723.92,37933.71,No,None,17004,500002,Hyderabad,Telangana,No
C48379481,P1990460,U159740,Comprehensive,Motorcycle,Parking Bump,07/26/2024,07/26/2024,2000.0,1884.4,Yes,Minor,14668,600004,Chennai,Tamil Nadu,No
C68686939,P4574433,U715115,Comprehensive,Hatchback,Windshield Damage,05/25/2024,05/26/2024,6668.96,4705.34,Yes,None,12027,600003,Chennai,Tamil Nadu,No
C32295521,P3813063,U229461,Motor OD,Hatchback,Single Vehicle,02/11/2024,02/13/2024,14844.5,11655.54,Yes,None,13048,110008,Delhi,Delhi,No
C54729733,P6993567,U076483,Comprehensive,Sedan,Head-on,06/04/2025,06/05/2025,113224.25,85704.62,Yes,Minor,13686,400002,Mumbai,Maharashtra,No
C40594729,P1266435,U687495,Motor TP,Sedan,Rear Collision,11/09/2024,11/09/2024,12596.8,9692.01,No,None,9083,400005,Mumbai,Maharashtra,Yes
C09227679,P3464029,U800611,Motor TP,Hatchback,Windshield Damage,06/24/2024,06/27/2024,13068.26,9490.82,Yes,Minor,10896,500010,Hyderabad,Telangana,Yes
C53265702,P2566686,U815333,Motor OD,Sedan,Single Vehicle,06/23/2025,06/29/2025,40887.88,29775.21,Yes,Minor,8178,380003,Ahmedabad,Gujarat,Yes
C26269583,P8661331,U266313,Comprehensive,Sedan,Single Vehicle,12/09/2023,12/12/2023,32219.43,26905.98,Yes,None,10979,226004,Lucknow,Uttar Pradesh,No
C76426880,P9231030,U565903,Comprehensive,Sedan,Single Vehicle,10/27/2023,11/06/2023,38720.55,30702.27,No,None,9803,400003,Mumbai,Maharashtra,No
C81550380,P3446878,U762253,Comprehensive,Van,Windshield Damage,09/29/2024,10/01/2024,17800.51,13446.44,No,None,19143,226003,Lucknow,Uttar Pradesh,No
C78590428,P1091825,U986962,Motor TP,Hatchback,Side Collision,06/28/2023,07/01/2023,31860.84,28364.84,Yes,Minor,14891,560005,Bengaluru,Karnataka,No
C47122514,P2070763,U215077,Motor OD,Hatchback,Rear Collision,08/19/2025,08/21/2025,13492.07,11711.72,Yes,Minor,7568,700009,Kolkata,West Bengal,No
C10742438,P0494308,U363017,Comprehensive,Sedan,Single Vehicle,03/05/2025,03/10/2025,52706.91,40641.76,No,None,9762,600001,Chennai,Tamil Nadu,No
C14545633,P6465648,U855512,Comprehensive,Pickup,Windshield Damage,11/13/2024,11/18/2024,17516.37,13402.41,Yes,None,10230,560003,Bengaluru,Karnataka,No
C86846848,P2185952,U182157,Motor OD,Sedan,Windshield Damage,08/10/2024,08/10/2024,13132.51,11960.99,Yes,None,15020,226006,Lucknow,Uttar Pradesh,No
C50179909,P2677273,U601327,Motor OD,Hatchback,Head-on,07/27/2025,08/06/2025,34678.16,28127.09,Yes,Minor,15356,560004,Bengaluru,Karnataka,No
C26173979,P9744850,U851002,Comprehensive,SUV,Single Vehicle,07/25/2024,08/01/2024,61005.95,59194.34,Yes,None,15057,700010,Kolkata,West Bengal,No
C39481408,P8449331,U985786,Comprehensive,Hatchback,Head-on,04/21/2023,05/12/2023,43355.54,37060.52,No,None,12454,411007,Pune,Maharashtra,No
C95402361,P4256576,U064793,Comprehensive,Sedan,Rear Collision,05/20/2025,05/23/2025,10471.09,8166.27,Yes,None,3719,411003,Pune,Maharashtra,Yes
C03253922,P9743717,U280980,Motor OD,Sedan,Side Collision,06/13/2023,06/17/2023,33657.71,30664.87,Yes,None,15652,560007,Bengaluru,Karnataka,Yes
C78007398,P2161975,U156655,Comprehensive,Sedan,Parking Bump,10/31/2023,11/01/2023,13068.36,12074.8,Yes,None,18343,380007,Ahmedabad,Gujarat,No
C78962388,P8885264,U838023,Comprehensive,Hatchback,Parking Bump,07/25/2023,08/08/2023,9700.81,9451.65,Yes,None,1667,110004,Delhi,Delhi,No
C06613733,P9489520,U975411,Comprehensive,SUV,Windshield Damage,12/10/2023,12/17/2023,28340.9,23545.04,Yes,None,1000,600001,Chennai,Tamil Nadu,No
C94141282,P1078959,U586115,Motor OD,Sedan,Head-on,01/30/2025,02/06/2025,62036.51,60241.56,No,None,11908,400006,Mumbai,Maharashtra,No
C87388108,P5421024,U715018,Comprehensive,Hatchback,Rear Collision,01/27/2023,01/28/2023,17076.48,15667.42,Yes,None,14185,110001,Delhi,Delhi,Yes
C28570904,P5451725,U348497,Motor OD,Motorcycle,Side Collision,03/17/2023,03/17/2023,14224.7,10901.92,Yes,Minor,10055,700009,Kolkata,West Bengal,No
C31774271,P2207295,U909797,Comprehensive,Hatchback,Head-on,02/03/2025,02/07/2025,26954.81,21560.28,Yes,None,13152,226003,Lucknow,Uttar Pradesh,No
C60596651,P3521868,U087734,Motor OD,Hatchback,Single Vehicle,08/24/2023,09/16/2023,23703.69,16783.68,Yes,Minor,12708,700002,Kolkata,West Bengal,Yes
C90854546,P3213741,U671460,Comprehensive,Hatchback,Theft,04/22/2025,05/03/2025,34903.56,28990.21,No,None,11716,302006,Jaipur,Rajasthan,No
C89228959,P0528665,U799642,Motor OD,Hatchback,Theft,12/10/2024,12/11/2024,26744.43,21018.18,Yes,None,13168,700009,Kolkata,West Bengal,Yes
C85801100,P1168043,U319780,Comprehensive,Hatchback,Rear Collision,05/13/2025,05/16/2025,4976.75,4413.81,No,None,4605,110008,Delhi,Delhi,No
C06502143,P6268078,U724558,Motor TP,SUV,Side Collision,06/06/2024,07/04/2024,57090.86,44022.37,Yes,None,7653,411005,Pune,Maharashtra,No
C56321043,P8158692,U868712,Comprehensive,Pickup,Single Vehicle,09/25/2025,10/02/2025,34004.1,27480.75,No,None,14750,380005,Ahmedabad,Gujarat,Yes
C88114585,P0999103,U306371,Comprehensive,SUV,Side Collision,06/23/2023,06/28/2023,31287.49,22792.38,Yes,None,9720,411008,Pune,Maharashtra,No
C51030606,P5853226,U028911,Comprehensive,Sedan,Rear Collision,10/03/2024,10/10/2024,28271.78,22918.06,No,None,14301,302001,Jaipur,Rajasthan,No
C40897451,P4391213,U155774,Comprehensive,SUV,Theft,06/19/2023,06/23/2023,114900.85,92381.01,Yes,None,13402,110010,Delhi,Delhi,No
C31660039,P2528012,U789817,Motor OD,Hatchback,Side Collision,04/17/2025,04/17/2025,26893.85,23961.68,No,Minor,10879,400005,Mumbai,Maharashtra,No
C78260737,P0591310,U717236,Comprehensive,Sedan,Single Vehicle,04/21/2023,04/27/2023,38498.51,36907.74,Yes,Minor,8942,380009,Ahmedabad,Gujarat,Yes
C23763681,P8568247,U035458,Comprehensive,Hatchback,Parking Bump,04/27/2023,05/11/2023,6773.63,6641.9,Yes,None,12557,411001,Pune,Maharashtra,Yes
C76954199,P2064790,U972623,Comprehensive,Sedan,Theft,10/23/2023,11/06/2023,78975.68,72994.61,Yes,Minor,13108,110007,Delhi,Delhi,No
C62513533,P5022233,U898401,Comprehensive,Hatchback,Windshield Damage,11/06/2024,11/10/2024,14830.75,13020.78,Yes,None,13291,560009,Bengaluru,Karnataka,No
C49870313,P8733741,U498646,Comprehensive,Sedan,Rear Collision,04/28/2025,04/30/2025,39994.26,33854.54,No,None,11542,380009,Ahmedabad,Gujarat,No
C42037052,P5732734,U611813,Motor TP,Hatchback,Head-on,07/20/2023,07/24/2023,36811.98,27872.36,Yes,None,8631,560001,Bengaluru,Karnataka,Yes
C31608542,P3120522,U308613,Comprehensive,Sedan,Rear Collision,08/17/2024,08/27/2024,9920.82,7218.36,No,None,8111,500004,Hyderabad,Telangana,No
C19740025,P1570623,U113014,Comprehensive,SUV,Rear Collision,02/11/2023,02/21/2023,63077.8,59168.57,Yes,None,9259,302003,Jaipur,Rajasthan,No
C76656850,P7924128,U358081,Comprehensive,Hatchback,Parking Bump,01/04/2024,01/04/2024,4956.87,3719.28,Yes,None,14334,700009,Kolkata,West Bengal,Yes
C31797470,P8667665,U029566,Comprehensive,Hatchback,Rear Collision,09/23/2023,09/26/2023,18825.77,13543.85,Yes,None,16420,302008,Jaipur,Rajasthan,No
C15528430,P3409054,U718507,Comprehensive,Hatchback,Single Vehicle,09/14/2024,09/15/2024,18709.02,15605.98,Yes,Minor,4377,226003,Lucknow,Uttar Pradesh,Yes
C05050761,P0134327,U366913,Comprehensive,Hatchback,Rear Collision,04/04/2024,04/06/2024,29664.65,24006.0,No,None,10868,226003,Lucknow,Uttar Pradesh,Yes
C24888243,P8922069,U222607,Motor OD,Sedan,Theft,04/24/2024,05/08/2024,60428.06,44446.45,Yes,None,12222,560007,Bengaluru,Karnataka,Yes
C78515317,P5222886,U985931,Comprehensive,Sedan,Rear Collision,02/15/2024,02/29/2024,8278.97,6005.84,Yes,None,7184,600006,Chennai,Tamil Nadu,No
C82232661,P5684079,U362103,Motor OD,Sedan,Side Collision,05/30/2024,06/01/2024,31693.03,30907.6,Yes,None,10515,600006,Chennai,Tamil Nadu,Yes
C91631111,P7331031,U853995,Comprehensive,Sedan,Windshield Damage,02/13/2025,02/17/2025,18369.83,12907.26,Yes,Minor,15600,600003,Chennai,Tamil Nadu,No
C34434934,P5774333,U906883,Motor OD,Sedan,Windshield Damage,09/05/2024,09/08/2024,14704.92,11801.15,Yes,None,16445,333333,Hyderabad,Telangana,No
C24976493,P7269323,U837888,Comprehensive,Hatchback,Side Collision,03/26/2024,04/23/2024,19734.41,13986.94,No,None,4611,560003,Bengaluru,Karnataka,Yes
C80603849,P4415413,U637962,Motor TP,Motorcycle,Side Collision,05/16/2025,05/19/2025,11337.4,8175.99,Yes,None,18018,110005,Delhi,Delhi,Yes
C95339653,P9766533,U477801,Motor OD,SUV,Parking Bump,02/12/2024,03/04/2024,11335.02,10641.48,Yes,None,7666,400001,Mumbai,Maharashtra,Yes
C07988436,P0044476,U156329,Motor OD,Sedan,Side Collision,11/14/2024,12/05/2024,49314.88,48355.82,No,Minor,15313,226006,Lucknow,Uttar Pradesh,No
C64080074,P2908884,U430339,Comprehensive,Sedan,Side Collision,10/05/2024,10/09/2024,25633.25,19580.83,Yes,None,4611,302009,Jaipur,Rajasthan,No
C21174284,P6103084,U172768,Comprehensive,Hatchback,Head-on,04/26/2023,05/17/2023,39683.82,28684.99,Yes,None,12657,110005,Delhi,Delhi,No
C01218290,P4716638,U165228,Comprehensive,SUV,Side Collision,05/06/2023,05/20/2023,70811.83,68470.22,No,None,9436,226003,Lucknow,Uttar Pradesh,Yes
C49531170,P5351068,U254958,Comprehensive,Hatchback,Single Vehicle,08/26/2025,08/28/2025,9097.46,8377.26,Yes,None,9962,888888,Ahmedabad,Gujarat,No
C54824957,P8821551,U333884,Comprehensive,SUV,Single Vehicle,09/07/2023,09/20/2023,64064.69,63288.88,Yes,None,7229,302010,Jaipur,Rajasthan,No
C74429114,P0421677,U849264,Comprehensive,Motorcycle,Side Collision,12/12/2024,12/12/2024,14863.49,10873.63,Yes,None,18023,226004,Lucknow,Uttar Pradesh,No
C69801975,P6875524,U723558,Motor OD,Sedan,Side Collision,07/31/2024,08/05/2024,41877.7,40758.81,No,None,12141,700005,Kolkata,West Bengal,Yes
C73923135,P3833276,U072706,Comprehensive,Van,Side Collision,01/03/2025,01/05/2025,33789.03,26800.97,Yes,Minor,18131,560006,Bengaluru,Karnataka,No
C62185183,P1399363,U102064,Motor OD,Motorcycle,Parking Bump,08/04/2023,08/05/2023,2000.0,1852.8,No,Minor,12037,600003,Chennai,Tamil Nadu,No
C61000768,P5943952,U652107,Motor TP,Hatchback,Rear Collision,08/09/2024,08/30/2024,31840.29,31057.29,No,Minor,9172,110002,Delhi,Delhi,Yes
C23626380,P5107582,U961039,Comprehensive,Motorcycle,Single Vehicle,08/07/2023,08/09/2023,20349.81,17435.65,No,None,4150,400003,Mumbai,Maharashtra,No
C30423380,P0144972,U158273,Comprehensive,SUV,Rear Collision,09/07/2025,09/07/2025,66496.6,63133.88,Yes,None,18132,500010,Hyderabad,Telangana,No
C38123012,P8623385,U993156,Motor OD,Hatchback,Rear Collision,12/21/2024,12/26/2024,23619.75,20299.25,No,Major,11663,600008,Chennai,Tamil Nadu,No
C86543284,P0936025,U818877,Motor OD,Hatchback,Side Collision,01/02/2023,01/02/2023,12759.51,11111.53,Yes,None,13424,560004,Bengaluru,Karnataka,Yes
C62125022,P9252869,U471731,Comprehensive,Pickup,Windshield Damage,08/26/2023,09/05/2023,18208.72,15931.36,Yes,None,13519,380006,Ahmedabad,Gujarat,Yes
C69412796,P5662915,U653552,Motor TP,Sedan,Rear Collision,03/03/2025,03/04/2025,17049.17,12104.32,No,None,10909,411003,Pune,Maharashtra,No
C34465309,P0060586,U933447,Motor OD,Sedan,Side Collision,10/03/2024,10/08/2024,26585.34,25418.16,No,Minor,8906,400010,Mumbai,Maharashtra,No
C65564167,P5775435,U544069,Comprehensive,SUV,Single Vehicle,11/28/2023,12/02/2023,60312.24,56313.95,No,Minor,15115,380008,Ahmedabad,Gujarat,No
C01018920,P4178359,U745574,Comprehensive,SUV,Rear Collision,08/15/2023,09/05/2023,59371.18,45854.84,Yes,None,18028,110004,Delhi,Delhi,Yes
C69858228,P3694806,U205210,Motor OD,Sedan,Windshield Damage,03/02/2023,03/16/2023,15931.58,14379.04,Yes,None,4119,560010,Bengaluru,Karnataka,Yes
C81962258,P1048480,U960700,Motor TP,SUV,Rear Collision,11/28/2023,11/28/2023,34865.21,31403.62,Yes,None,18919,302009,Jaipur,Rajasthan,No
C98143950,P9540921,U075254,Comprehensive,Hatchback,Parking Bump,10/07/2024,10/07/2024,8037.5,5696.63,Yes,None,14387,302002,Jaipur,Rajasthan,Yes
C29139451,P3784516,U279095,Comprehensive,SUV,Side Collision,04/15/2025,04/17/2025,78109.59,65984.73,No,None,9091,500010,Hyderabad,Telangana,Yes
C79672230,P3129636,U423442,Comprehensive,Hatchback,Single Vehicle,03/03/2025,03/06/2025,39401.57,34668.62,Yes,None,14018,560006,Bengaluru,Karnataka,Yes
C50480880,P5887445,U825651,Motor OD,Hatchback,Parking Bump,06/04/2025,06/06/2025,2000.0,1735.96,Yes,Major,14652,226010,Lucknow,Uttar Pradesh,No
C13027210,P5436802,U088423,Comprehensive,Sedan,Head-on,05/09/2024,05/30/2024,37888.65,33974.37,No,None,22288,700006,Kolkata,West Bengal,Yes
C20135144,P9494151,U107943,Comprehensive,Pickup,Side Collision,03/11/2024,03/16/2024,9964.09,8725.25,No,None,12443,560008,Bengaluru,Karnataka,No
C26255646,P3319572,U558865,Comprehensive,Hatchback,Windshield Damage,02/11/2024,03/03/2024,2000.0,1795.21,No,None,7123,560001,Bengaluru,Karnataka,Yes
C20421515,P6918849,U245076,Motor OD,Hatchback,Side Collision,05/27/2025,05/31/2025,45151.89,41750.79,No,None,13161,380010,Ahmedabad,Gujarat,No
C51959750,P0309345,U747292,Comprehensive,Sedan,Head-on,08/24/2025,08/25/2025,58246.4,49937.27,Yes,None,20932,302005,Jaipur,Rajasthan,Yes
C44801967,P1036867,U402502,Comprehensive,Van,Windshield Damage,09/20/2023,09/22/2023,26356.65,24910.25,Yes,None,13372,302007,Jaipur,Rajasthan,Yes
C54401316,P5480511,U270802,Comprehensive,Hatchback,Rear Collision,01/13/2024,01/27/2024,27976.22,25593.4,No,Minor,14412,411001,Pune,Maharashtra,Yes
C56881422,P7517220,U068856,Motor OD,SUV,Side Collision,01/13/2024,01/14/2024,36557.11,31699.69,No,None,14693,226003,Lucknow,Uttar Pradesh,No
C48259117,P5951889,U491765,Comprehensive,SUV,Single Vehicle,06/13/2024,07/09/2024,27019.25,26724.53,Yes,Minor,16849,110010,Delhi,Delhi,Yes
C18372251,P4694569,U806595,Motor OD,Hatchback,Windshield Damage,06/10/2023,06/15/2023,5580.18,5305.29,No,None,9617,000000,Hyderabad,Telangana,Yes
C82251427,P7504695,U665521,Comprehensive,Hatchback,Side Collision,03/18/2025,03/25/2025,24417.22,22991.0,No,None,13438,333333,Pune,Maharashtra,Yes
C63582272,P1548335,U387754,Comprehensive,Sedan,Theft,05/28/2023,05/30/2023,72201.27,69554.32,Yes,None,15822,560009,Bengaluru,Karnataka,No
C62215410,P0940282,U840601,Comprehensive,Sedan,Side Collision,08/07/2025,08/07/2025,45186.39,32700.88,No,Minor,13565,700010,Kolkata,West Bengal,Yes
C81608623,P4765764,U280701,Comprehensive,Hatchback,Theft,04/10/2023,04/14/2023,4500.52,3710.57,No,None,10138,411001,Pune,Maharashtra,Yes
C81346253,P9611381,U440327,Comprehensive,Sedan,Single Vehicle,07/22/2023,07/28/2023,30904.98,25057.19,No,None,17028,777777,Jaipur,Rajasthan,No
C02524521,P4815853,U979244,Motor OD,Sedan,Side Collision,05/10/2025,05/14/2025,21241.54,21047.21,Yes,None,16570,600009,Chennai,Tamil Nadu,Yes
C43009685,P4933122,U782612,Comprehensive,Motorcycle,Single Vehicle,03/06/2024,03/12/2024,15970.01,14440.6,Yes,None,4945,666666,Lucknow,Uttar Pradesh,Yes
C60233186,P6911276,U016276,Comprehensive,Sedan,Theft,04/29/2023,05/04/2023,77046.0,75303.44,No,None,4836,560010,Bengaluru,Karnataka,Yes
C44673296,P2739234,U493598,Comprehensive,Sedan,Theft,09/14/2023,09/19/2023,47837.22,43488.52,No,None,10965,500009,Hyderabad,Telangana,No
C94254683,P8281574,U620135,Motor OD,Hatchback,Single Vehicle,01/25/2024,01/26/2024,37914.25,34979.0,Yes,None,15186,226008,Lucknow,Uttar Pradesh,No
C91739407,P8671248,U604738,Motor OD,Sedan,Parking Bump,03/13/2025,03/13/2025,3848.12,3338.13,No,None,21833,560004,Bengaluru,Karnataka,No
C34896764,P9101840,U437224,Comprehensive,Hatchback,Single Vehicle,12/28/2024,01/04/2025,23487.24,21778.51,No,None,1008,226006,Lucknow,Uttar Pradesh,No
C04874842,P4026728,U000108,Motor TP,Sedan,Single Vehicle,03/17/2024,03/31/2024,33655.63,32460.68,No,Minor,15228,302004,Jaipur,Rajasthan,No
C57710399,P9365262,U146077,Motor OD,Hatchback,Side Collision,09/24/2024,09/24/2024,26414.55,20480.43,No,Minor,7275,700003,Kolkata,West Bengal,No
C48937791,P7953793,U524630,Comprehensive,Sedan,Side Collision,07/08/2025,07/09/2025,20586.38,18551.76,Yes,None,14593,600004,Chennai,Tamil Nadu,No
C07887257,P1798496,U608016,Motor OD,Sedan,Side Collision,06/02/2025,06/03/2025,27638.36,23035.94,No,None,17374,500001,Hyderabad,Telangana,Yes
C73374047,P1696546,U748910,Motor TP,Hatchback,Parking Bump,05/17/2024,05/31/2024,3308.46,2999.99,Yes,None,19868,380002,Ahmedabad,Gujarat,Yes
C26578268,P7726328,U517836,Comprehensive,Hatchback,Parking Bump,10/11/2023,10/16/2023,9565.19,8979.24,Yes,None,10261,600008,Chennai,Tamil Nadu,Yes
C51166592,P5078284,U905190,Comprehensive,Sedan,Parking Bump,04/03/2024,04/05/2024,16857.71,15883.28,Yes,None,12277,600009,Chennai,Tamil Nadu,Yes
C03485106,P9180541,U188115,Comprehensive,Hatchback,Head-on,12/16/2023,12/26/2023,34578.86,33247.93,Yes,None,16309,226008,Lucknow,Uttar Pradesh,No
C24205815,P8838582,U077555,Comprehensive,Hatchback,Parking Bump,03/23/2023,03/27/2023,13784.38,13744.77,Yes,None,8652,600001,Chennai,Tamil Nadu,No
C03670026,P4975127,U158509,Motor TP,SUV,Head-on,08/02/2024,08/06/2024,137314.34,103795.05,Yes,None,14491,110007,Delhi,Delhi,No
C58160891,P4751700,U499166,Comprehensive,Hatchback,Windshield Damage,07/17/2025,07/19/2025,2454.15,2141.06,Yes,None,14075,110003,Delhi,Delhi,No
C69164867,P5451536,U817812,Comprehensive,Hatchback,Rear Collision,10/24/2024,11/03/2024,23613.07,23292.94,No,None,19408,600006,Chennai,Tamil Nadu,No
C55355927,P8168915,U821596,Motor OD,Sedan,Rear Collision,07/29/2023,08/08/2023,29138.1,20878.54,Yes,None,14430,600005,Chennai,Tamil Nadu,Yes
C62219501,P7389331,U018907,Motor TP,Hatchback,Windshield Damage,06/09/2024,06/11/2024,14720.73,10522.37,Yes,Minor,11191,400006,Mumbai,Maharashtra,Yes
C16941894,P9218794,U548555,Motor OD,Hatchback,Head-on,09/30/2023,10/21/2023,6267.85,6101.75,Yes,None,9994,600008,Chennai,Tamil Nadu,Yes
C46374260,P9635565,U544821,Comprehensive,Hatchback,Side Collision,12/06/2024,12/07/2024,14339.33,10894.86,No,Minor,8052,560001,Bengaluru,Karnataka,No
C97528136,P3185374,U212115,Comprehensive,Motorcycle,Rear Collision,05/25/2024,05/28/2024,10154.0,8539.16,No,None,5690,302007,Jaipur,Rajasthan,No
C03344047,P1615316,U422145,Motor OD,SUV,Side Collision,04/10/2025,04/13/2025,62447.32,50296.5,Yes,None,9986,560006,Bengaluru,Karnataka,No
C67863851,P5735237,U757710,Motor TP,Sedan,Parking Bump,08/23/2023,08/27/2023,15656.04,14412.77,Yes,None,9466,380008,Ahmedabad,Gujarat,No
C19042999,P2568645,U389524,Comprehensive,Sedan,Rear Collision,04/14/2025,04/17/2025,25060.38,18526.99,Yes,None,17834,222222,Chennai,Tamil Nadu,No
C46504039,P8943642,U549163,Comprehensive,Sedan,Side Collision,09/05/2024,09/10/2024,41876.99,37819.32,Yes,None,10310,226005,Lucknow,Uttar Pradesh,No
C62878308,P4529222,U501258,Comprehensive,Sedan,Rear Collision,05/03/2023,05/03/2023,17267.75,15538.6,Yes,Minor,7670,302006,Jaipur,Rajasthan,No
C28324865,P3487675,U696376,Comprehensive,Sedan,Single Vehicle,09/23/2025,09/26/2025,47049.9,46745.75,Yes,None,6731,302003,Jaipur,Rajasthan,Yes
C47607609,P8594642,U233141,Motor TP,Hatchback,Single Vehicle,07/12/2023,07/16/2023,34770.26,26213.2,No,None,12888,500002,Hyderabad,Telangana,No
C46433459,P1618533,U250443,Motor OD,Hatchback,Rear Collision,01/03/2024,01/05/2024,11366.17,11316.42,Yes,None,16231,411001,Pune,Maharashtra,No
C11345712,P1179985,U261001,Comprehensive,Hatchback,Head-on,05/28/2024,05/30/2024,51866.75,45349.02,Yes,None,14324,380003,Ahmedabad,Gujarat,No
C01662308,P0843100,U785676,Comprehensive,Sedan,Head-on,05/17/2023,05/20/2023,50347.54,39084.63,Yes,Minor,8184,226006,Lucknow,Uttar Pradesh,Yes
C77468393,P0142773,U490266,Comprehensive,Sedan,Rear Collision,04/03/2024,04/06/2024,38744.7,35259.86,No,None,17834,380002,Ahmedabad,Gujarat,No
C75182633,P4516903,U455438,Comprehensive,SUV,Windshield Damage,12/23/2023,12/25/2023,32649.2,31131.14,Yes,Minor,5916,600006,Chennai,Tamil Nadu,No
C91465825,P6537444,U072451,Motor OD,Hatchback,Single Vehicle,07/09/2025,07/10/2025,32546.54,30552.17,Yes,None,7174,500006,Hyderabad,Telangana,No
C33457253,P9691929,U184573,Comprehensive,Pickup,Windshield Damage,09/23/2024,09/27/2024,25793.96,20762.21,Yes,Minor,12431,500008,Hyderabad,Telangana,Yes
C28775205,P0571451,U261129,Motor OD,Van,Rear Collision,07/07/2025,07/07/2025,44162.82,32192.91,Yes,None,9224,700001,Kolkata,West Bengal,No
C52044314,P4979156,U339738,Comprehensive,Van,Side Collision,04/09/2023,04/09/2023,75842.61,67906.47,Yes,None,1658,700007,Kolkata,West Bengal,No
C52194430,P8147585,U636770,Motor OD,Sedan,Head-on,09/17/2023,10/08/2023,55745.38,50662.96,Yes,None,11190,700007,Kolkata,West Bengal,Yes
C32104449,P7884878,U303459,Motor TP,Sedan,Parking Bump,12/15/2024,12/15/2024,10843.18,9124.85,Yes,None,14297,302005,Jaipur,Rajasthan,No
C41065310,P3286630,U719715,Motor OD,Sedan,Single Vehicle,12/30/2024,01/06/2025,25695.74,24394.93,No,Minor,6223,600008,Chennai,Tamil Nadu,No
C91098362,P6433432,U126466,Motor OD,Hatchback,Rear Collision,02/10/2023,02/13/2023,10138.12,8704.53,No,None,7384,400008,Mumbai,Maharashtra,No
C92868476,P9294521,U390462,Motor TP,SUV,Theft,04/21/2025,04/22/2025,97392.27,96174.16,Yes,None,13063,111111,Hyderabad,Telangana,No
C82541759,P9921816,U170085,Comprehensive,Hatchback,Theft,04/06/2024,04/15/2024,18632.14,14444.76,Yes,Minor,10589,400007,Mumbai,Maharashtra,Yes
C85033272,P0457799,U240479,Comprehensive,SUV,Parking Bump,09/20/2024,09/21/2024,3692.25,3206.32,Yes,None,11502,560001,Bengaluru,Karnataka,No
C52922661,P8719097,U236298,Motor TP,Sedan,Parking Bump,06/22/2024,06/24/2024,8296.0,7694.2,Yes,None,9084,226006,Lucknow,Uttar Pradesh,No
C09270900,P0594420,U928286,Comprehensive,Sedan,Parking Bump,04/11/2023,04/18/2023,10603.61,8644.88,Yes,Minor,12164,500003,Hyderabad,Telangana,Yes
C89662350,P0833772,U554926,Comprehensive,Motorcycle,Side Collision,08/22/2025,08/27/2025,19319.82,16099.41,No,None,11348,411007,Pune,Maharashtra,No
C43427480,P4492655,U337435,Comprehensive,Van,Single Vehicle,09/04/2024,09/06/2024,37245.39,34846.27,No,None,9607,700002,Kolkata,West Bengal,Yes
C27664256,P3045021,U161350,Comprehensive,Hatchback,Windshield Damage,08/28/2025,08/30/2025,6866.51,6120.68,Yes,None,17453,411009,Pune,Maharashtra,No
C78547404,P0413643,U518425,Comprehensive,Hatchback,Parking Bump,06/16/2024,06/18/2024,4430.88,3960.48,Yes,None,5884,600005,Chennai,Tamil Nadu,Yes
C59008972,P7780126,U301909,Motor TP,Sedan,Parking Bump,06/28/2025,07/01/2025,14632.87,14405.84,Yes,None,10223,110007,Delhi,Delhi,No
